Date,Open,High,Low,Close,UpperMid,ValueUpper,LowerMid,ValueLower,TouchUpperQ,TouchLowerQ
2025-10-14 10:01:00,3938.290,3943.900,3935.430,3942.620,4049.515,4079.626,3989.294,3959.183,0,0
2025-10-14 10:02:00,3942.610,3945.430,3940.220,3943.610,4049.515,4079.626,3989.294,3959.183,0,0
2025-10-14 10:03:00,3943.710,3947.370,3942.170,3942.480,4049.515,4079.626,3989.294,3959.183,0,0
2025-10-14 10:04:00,3942.240,3942.240,3938.260,3939.010,4049.515,4079.626,3989.294,3959.183,0,0
2025-10-14 10:04:00,3942.240,3942.240,3938.260,3939.300,4014.232,4044.289,3954.117,3924.060,0,1
2025-10-14 10:05:00,3939.310,3941.840,3938.600,3939.830,4014.232,4044.289,3954.117,3924.060,0,1
2025-10-14 10:06:00,3939.880,3939.890,3935.800,3935.800,4014.232,4044.289,3954.117,3924.060,0,1
2025-10-14 10:07:00,3937.270,3940.000,3935.720,3939.170,4014.232,4044.289,3954.117,3924.060,0,1
2025-10-14 10:08:00,3939.000,3939.410,3935.110,3938.270,4014.232,4044.289,3954.117,3924.060,0,1
2025-10-14 10:09:00,3937.780,3937.780,3933.900,3933.900,4014.232,4044.289,3954.117,3924.060,0,0
2025-10-14 10:10:00,3933.900,3934.350,3926.110,3926.610,4014.233,4044.291,3954.116,3924.058,0,0
2025-10-14 10:11:00,3928.470,3929.580,3922.100,3925.160,4014.233,4044.291,3954.116,3924.058,0,0
2025-10-14 10:12:00,3924.820,3929.580,3924.820,3929.330,4014.233,4044.291,3954.116,3924.058,0,0
2025-10-14 10:13:00,3929.330,3930.320,3922.650,3929.720,4014.233,4044.291,3954.116,3924.058,0,0
2025-10-14 10:13:00,3929.330,3930.320,3922.650,3929.720,4014.233,4044.291,3954.116,3924.058,0,0
2025-10-14 10:14:00,3929.720,3938.270,3927.930,3938.260,4014.233,4044.291,3954.116,3924.058,0,0
2025-10-14 10:15:00,3939.540,3939.810,3924.210,3925.600,4014.230,4044.286,3954.119,3924.063,0,1
2025-10-14 10:16:00,3925.610,3937.450,3925.610,3934.920,4014.230,4044.286,3954.119,3924.063,0,0
2025-10-14 10:17:00,3934.920,3936.130,3929.180,3931.420,4014.230,4044.286,3954.119,3924.063,0,0
2025-10-14 10:18:00,3931.100,3934.000,3927.420,3930.500,4014.230,4044.286,3954.119,3924.063,0,0
2025-10-14 10:19:00,3929.800,3931.950,3927.720,3930.100,4014.230,4044.286,3954.119,3924.063,0,0
2025-10-14 10:20:00,3929.770,3931.480,3926.980,3928.050,4014.231,4044.287,3954.118,3924.062,0,0
2025-10-14 10:21:00,3928.040,3928.040,3922.940,3923.540,4014.231,4044.287,3954.118,3924.062,0,0
2025-10-14 10:22:00,3924.060,3930.530,3923.550,3927.630,4014.231,4044.287,3954.118,3924.062,0,0
2025-10-14 10:23:00,3926.360,3931.470,3926.160,3931.470,4014.231,4044.287,3954.118,3924.062,0,0
2025-10-14 10:24:00,3930.810,3938.160,3930.130,3936.210,4014.231,4044.287,3954.118,3924.062,0,0
2025-10-14 10:25:00,3936.200,3942.300,3934.980,3934.980,4014.232,4044.289,3954.117,3924.060,0,1
2025-10-14 10:26:00,3935.090,3942.980,3934.050,3942.050,4014.232,4044.289,3954.117,3924.060,0,1
2025-10-14 10:27:00,3942.840,3953.800,3942.840,3948.290,4014.232,4044.289,3954.117,3924.060,0,0
