side,context,entry_time,exit_time,entry_price,exit_price,exit_reason,profit_target_pct,stop_pct,pnl_pct,bars_held
short,lower,2024-11-19 10:54:59.999000-03:00,2024-11-20 11:08:59.999000-03:00,3093.2094809941327,3155.0736706140156,stop_hit,3.0,2.0,-2.0000000000000058,1454
long,lower,2024-11-20 11:08:59.999000-03:00,2024-11-20 13:28:59.999000-03:00,3148.0897404970665,3085.1279456871252,stop_hit,3.0,2.0,-1.9999999999999973,140
long,upper,2024-11-21 09:07:59.999000-03:00,2024-11-21 09:27:59.999000-03:00,3190.7237386283846,3286.445450787236,target_hit,3.0,2.0,2.9999999999999973,20
long,upper,2024-11-22 01:24:59.999000-03:00,2024-11-22 07:21:59.999000-03:00,3400.262181069449,3332.25693744806,stop_hit,3.0,2.0,-2.000000000000004,357
long,upper,2024-11-23 05:28:59.999000-03:00,2024-11-24 08:10:59.999000-03:00,3400.262181069449,3348.1410905347248,opposite_signal,3.0,2.0,-1.5328550493812572,1603
short,lower,2024-11-24 09:35:59.999000-03:00,2024-11-25 01:13:59.999000-03:00,3321.9408868974074,3388.3797046353557,stop_hit,3.0,2.0,-2.000000000000004,938
short,upper,2024-11-24 08:10:59.999000-03:00,2024-11-25 04:42:59.999000-03:00,3348.1410905347248,3413.602507491635,opposite_signal,3.0,2.0,-1.9551570613906146,1233
long,upper,2024-11-25 04:42:59.999000-03:00,2024-11-25 07:37:59.999000-03:00,3413.602507491635,3516.0105827163843,target_hit,3.0,2.0,3.000000000000003,175
short,lower,2024-11-25 12:11:59.999000-03:00,2024-11-25 12:17:59.999000-03:00,3361.1501913953102,3414.485095697655,opposite_signal,3.0,2.0,-1.586805148989909,7
long,lower,2024-11-25 12:17:59.999000-03:00,2024-11-25 12:55:59.999000-03:00,3414.485095697655,3516.9196485685848,target_hit,3.0,2.0,2.9999999999999973,38
long,lower,2024-11-25 19:46:59.999000-03:00,2024-11-26 05:16:59.999000-03:00,3414.485095697655,3361.1501913953102,opposite_signal,3.0,2.0,-1.5620189518340089,571
short,lower,2024-11-26 05:16:59.999000-03:00,2024-11-26 15:35:59.999000-03:00,3361.1501913953102,3260.315685653451,target_hit,3.0,2.0,2.999999999999996,619
short,upper,2024-11-27 02:07:59.999000-03:00,2024-11-27 03:51:59.999000-03:00,3393.2022667381875,3447.564533476375,opposite_signal,3.0,2.0,-1.6020933167195086,105
long,upper,2024-11-27 03:51:59.999000-03:00,2024-11-27 12:31:59.999000-03:00,3447.564533476375,3550.991469480666,target_hit,3.0,2.0,3.0000000000000013,520
